from,to,vote,relation,show,time,staffel
sd,a,1,1,KdRS,2025,6
gf,a,1,1,KdRS,2025,6
dl,as,2,1,KdRS,2025,6
jh,ar,2,1,KdRS,2025,6
as,ln,2,1,KdRS,2025,6
dw,as,2,1,KdRS,2025,6
ar,ln,2,1,KdRS,2025,6
ln,ar,2,1,KdRS,2025,6
ms,as,2,1,KdRS,2025,6
hs,as,2,1,KdRS,2025,6
ck,as,1,1,KdRS,2025,6
al,as,1,1,KdRS,2025,6
co,dw,1,1,KdRS,2025,6
p,dw,1,1,KdRS,2025,6
gf,ms,2,1,KdRS,2025,6
ck,hs,2,1,KdRS,2025,6
sd,ar,2,1,KdRS,2025,6
jh,ms,2,1,KdRS,2025,6
ar,sd,2,1,KdRS,2025,6
dl,hs,2,1,KdRS,2025,6
hs,ms,2,1,KdRS,2025,6
ms,hs,2,1,KdRS,2025,6
al,ms,2,1,KdRS,2025,6
sfw,hs,1,1,KdRS,2025,6
ma,hs,1,1,KdRS,2025,6
gf,co,2,1,KdRS,2025,6
p,al,2,1,KdRS,2025,6
ar,ms,2,1,KdRS,2025,6
ms,ar,2,1,KdRS,2025,6
al,co,2,1,KdRS,2025,6
co,al,2,1,KdRS,2025,6
ck,co,2,1,KdRS,2025,6
jh,ms,2,1,KdRS,2025,6
sd,al,2,1,KdRS,2025,6
dl,co,2,1,KdRS,2025,6
tt,ms,1,1,KdRS,2025,6
js,ms,1,1,KdRS,2025,6
ck,sd,2,1,KdRS,2025,6
dl,sd,2,1,KdRS,2025,6
gf,ck,2,1,KdRS,2025,6
jh,ck,2,1,KdRS,2025,6
js,sd,2,1,KdRS,2025,6
ma,ck,2,1,KdRS,2025,6
p,dl,2,1,KdRS,2025,6
sd,dl,2,1,KdRS,2025,6
tt,ck,2,1,KdRS,2025,6
ar,ck,2,1,KdRS,2025,6
bk,ar,2,1,KdRS,2025,6
ck,ar,2,1,KdRS,2025,6
dl,ar,2,1,KdRS,2025,6
ff,ck,2,1,KdRS,2025,6
gf,ck,2,1,KdRS,2025,6
jh,ar,2,1,KdRS,2025,6
js,ar,2,1,KdRS,2025,6
ll,ar,2,1,KdRS,2025,6
ma,ar,2,1,KdRS,2025,6
p,ck,2,1,KdRS,2025,6
sd,ck,2,1,KdRS,2025,6
tt,ck,2,1,KdRS,2025,6
bk,sd,2,1,KdRS,2025,6
dl,sd,2,1,KdRS,2025,6
ff,bk,2,1,KdRS,2025,6
gf,sd,2,1,KdRS,2025,6
jh,sd,2,1,KdRS,2025,6
js,sd,2,1,KdRS,2025,6
ll,sd,2,1,KdRS,2025,6
ma,bk,2,1,KdRS,2025,6
p,bk,2,1,KdRS,2025,6
sd,bk,2,1,KdRS,2025,6
tt,sd,2,1,KdRS,2025,6
a,gf,2,1,KdRS,2025,6
as,gf,2,1,KdRS,2025,6
ar,jh,2,1,KdRS,2025,6
bk,ma,2,1,KdRS,2025,6
ck,jh,2,1,KdRS,2025,6
dw,p,2,1,KdRS,2025,6
dl,p,2,1,KdRS,2025,6
ff,js,2,1,KdRS,2025,6
gf,bk,2,1,KdRS,2025,6
jh,p,2,1,KdRS,2025,6
js,jh,2,1,KdRS,2025,6
ll,bk,2,1,KdRS,2025,6
ln,jh,2,1,KdRS,2025,6
ma,bk,2,1,KdRS,2025,6
ms,jh,2,1,KdRS,2025,6
p,jh,2,1,KdRS,2025,6
sfw,jh,2,1,KdRS,2025,6
sd,jh,2,1,KdRS,2025,6
tt,bk,2,1,KdRS,2025,6
BWM,ak,0,2,KdRS,2025,0
BR,al,0,2,KdRS,2025,0
RP,ar,0,2,KdRS,2025,0
km,bk,0,2,KdRS,2025,0
RTM,co,0,2,KdRS,2025,0
SG,dw,0,2,KdRS,2025,0
R,dl,0,2,KdRS,2025,0
K3,ff,0,2,KdRS,2025,0
AM,hs,0,2,KdRS,2025,0
PPA,js,0,2,KdRS,2025,0
H,ln,0,2,KdRS,2025,0
RW,ma,0,2,KdRS,2025,0
S,ms,0,2,KdRS,2025,0
H,tt,0,2,KdRS,2025,0
S&S,p,0,2,KdRS,2025,0
hs,dw,2,1,KdRS,2025,6
dw,hs,2,1,KdRS,2025,6
ll,ck,2,1,KdRS,2025,6
ck,ll,2,1,KdRS,2025,6