name,name_real,age_real,age,birthyear,gender,origin,residency,first_show,role
ak,Arabella Kiesbauer,,,1969,1,Österreich,Wien,"X-Large, 1987",2
a,Ailton,51,5,1973,2,Brasilien,Bremen,"IbeS, 2014",1
al,Anita Latifi,29,2,1996,1,Deutschland,-,DSDS 2014,1
as,Annina Semmelhaack,46,4,1978,1,Deutschland,-,Big Brother 2009,1
ar,Anouschka Renzi,60,5,1964,1,Deutschland,Berlin,"IbeS, 2022",1
bk,Bela Klentze,36,3,1988,2,Deutschland,"München, Köln","Forsthaus Rampensau, 2024",1
ck,Can Kaplan,29,2,1996,2,Deutschland,Essen,"Sommerhaus der Stars, 2023",1
co,Christin Okpara,28,2,1996,1,Deutschland,Harsewinkel,Sexklinik,1
dw,Daymian Weiss,19,1,2004,2,Deutschland,-,Goodbye Deutschland,1
dl,Dennis Lodi,28,2,1995,2,Deutschland,Wien,"Make Love, Fake Love, 2024",1
ff,Frank Fussbroich,56,5,1968,2,Deutschland,Vettweiß,"Die Fussbroichs, 1989",1
gf,Giuliana Farfalla,28,2,1996,1,Deutschland,Dubai,"GNTM, 2017",1
hs,Hati Suarez,24,2,2000,1,Deutschland,-,"Köln 50667, 2020",1
jh,Jens Hilbert,47,4,1978,2,Deutschland,-,"Catwalk 30+, 2014",1
js,Jona Steinig,29,2,1995,2,Deutschland,Berlin,"Die Bachelorette, 2021",1
ll,Laura Lettgen,28,2,1995,1,Deutschland,Dubai,"Love Island, 2019",1
ln,Linda Nobat,30,2,1995,1,Deutschland,Hanau-Kesselstadt,"Der Bachelor, 2021",1
ma,Martin Angelo,29,2,1993,2,Deutschland,Hamburg,"Prince Charming, 2019",1
ms,Martin Semmelrogge,69,6,1955,2,Deutschland,Mallorca,"Der Kommissar, 1972",1
p,Pinar,,,1988,1,-,Bergisch Gladbach,-,1
sfw,Shawne Fielding-Williams,55,5,1969,1,USA,,,1
sd,Stephen Dürr,50,4,1974,2,,,,1
tt,Tara Tabitha,32,3,1993,1,Österreich,Wien,,1
BWM,BWM Communications GmbH,,,,0,,,,3
BR,Bavarian Records,,,,0,,,,3
RP,Reineke-Partner,,,,0,,,,3
km,kick-management,,,,0,,,,3
RTM,Right Time Media,,,,0,,,,3
R,Rosenschwestern GmbH,,,,0,,,,3
K3,Kooperation3,,,,0,,,,3
AM,Angels Management,,,,0,,,,3
PPA,Pro Prime Agency,,,,0,,,,3
H,Heyllo,,,,0,,,,3
RW,Ramón Wagner,,,,0,,,,3
S,Schauspieloffensive!,,,,0,,,,3
SG,SG-Connection,,,,0,,,,3
S&S,Shine & Stories,,,,,,,,3